polymer_name,backbone,side_chain,side_chain_type,side_chain_length,side_chain_design_intent,device_type,transport_regime,film_thickness,channel_length,molecular_weight_mn,molecular_weight_mw,dispersity,mobility_h,mobility_e,capacitance,uc_star,pce,jsc,voc,ff,crystallinity,pi_pi_spacing,lamellar_spacing,experiment_condition,processing_method,processing_solvent,synthesis_solvent,electrolyte,measurement_method,notes,_source_file,_source_path,_config_name
Si-C1C6C8-DPP-C5,DPP-C5,siloxane-terminated alkyl chain and branched alkyl chain,"siloxane-terminated alkyl, branched alkyl",C1C6C8,solubilizing groups; lower melting temperature,OFET,electronic,∼1.5 μm,N/A,19.1 kDa,N/A,1.2,6.50 × 10−3 cm2/(V s),N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.68 Å,24.7 Å,melt-processed at 130 °C,melt pressing (delamination−lamination),N/A,N/A,N/A,bottom-gate bottom-contact (delamination−lamination),smooth upon delamination,382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering/382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering/pdf/382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering.txt,text_mining_GPT_extended
Si-C1C6C8-DPP-C0,DPP-C0,siloxane-terminated alkyl chain and branched alkyl chain,"siloxane-terminated alkyl, branched alkyl",C1C6C8,solubilizing groups,OFET,electronic,N/A,N/A,5.8 kDa,N/A,1.2,2.89 cm2/(V s),N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.61 Å,21.5 Å,drop-cast; hot-pressed at 130 °C,drop-casting; hot-pressing,chloroform,N/A,N/A,bottom-gate bottom-contact (delamination−lamination),clear edge-on orientation,382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering/382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering/pdf/382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering.txt,text_mining_GPT_extended
5% c-SPB,DPP-C5 matrix + DPP-C0 tie,siloxane-terminated alkyl chain and branched alkyl chain,"siloxane-terminated alkyl, branched alkyl",C1C6C8,solubilizing groups; lower melting temperature,OFET,electronic,∼1.5 μm,N/A,N/A,N/A,N/A,0.57 cm2/(V s),N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.65 Å,23.7 Å,melt-processed at 130 °C,melt pressing (delamination−lamination),N/A,N/A,N/A,bottom-gate bottom-contact (delamination−lamination),no detectable phase separation,382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering/382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering/pdf/382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering.txt,text_mining_GPT_extended
10% c-SPB,DPP-C5 matrix + DPP-C0 tie,siloxane-terminated alkyl chain and branched alkyl chain,"siloxane-terminated alkyl, branched alkyl",C1C6C8,solubilizing groups; lower melting temperature,OFET,electronic,∼1.5 μm,N/A,N/A,N/A,N/A,0.75 cm2/(V s),N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,N/A,N/A,melt-processed at 130 °C,melt pressing (delamination−lamination),N/A,N/A,N/A,bottom-gate bottom-contact (delamination−lamination),no detectable phase separation,382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering/382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering/pdf/382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering.txt,text_mining_GPT_extended
50% c-SPB,DPP-C5 matrix + DPP-C0 tie,siloxane-terminated alkyl chain and branched alkyl chain,"siloxane-terminated alkyl, branched alkyl",C1C6C8,solubilizing groups; lower melting temperature,OFET,electronic,∼1.5 μm,N/A,N/A,N/A,N/A,0.88 cm2/(V s),N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,N/A,N/A,melt-processed at 130 °C,melt pressing (delamination−lamination),N/A,N/A,N/A,bottom-gate bottom-contact (delamination−lamination),no detectable phase separation,382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering/382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering/pdf/382_attaining-melt-processing-of-complementary-semiconducting-polymer-blends-at-130-c-via-side-chain-engineering.txt,text_mining_GPT_extended
pTBTD-5DH(H),terthiophene (T) between benzothiadiazole (B) and diketopyrrolopyrrole (D),5-decylheptadecyl (5-DH),branched,5-decylheptadecyl,improve solubility; reduce steric hindrance; packing control,OFET,electronic,N/A,50 µm,50 kDa,N/A,2.1,1.02 cm 2 V −1 s −1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.59 Å,24.88 Å,as-spun,spin-coat,"1,2-dichlorobenzene",N/A,N/A,bottom-contact-bottom-gate OFET,nano-fibrillar texture,391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/pdf/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,text_mining_GPT_extended
pTBTD-5DH(H),terthiophene (T) between benzothiadiazole (B) and diketopyrrolopyrrole (D),5-decylheptadecyl (5-DH),branched,5-decylheptadecyl,improve solubility; reduce steric hindrance; packing control,OFET,electronic,N/A,50 µm,50 kDa,N/A,2.1,2.32 cm 2 V −1 s −1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.59 Å,24.55 Å,annealed at 300 °C,spin-coat,"1,2-dichlorobenzene",N/A,N/A,bottom-contact-bottom-gate OFET,nano-fibrillar texture,391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/pdf/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,text_mining_GPT_extended
pTBTD-5DH,terthiophene (T) between benzothiadiazole (B) and diketopyrrolopyrrole (D),5-decylheptadecyl (5-DH),branched,5-decylheptadecyl,improve solubility; reduce steric hindrance; packing control,OFET,electronic,N/A,50 µm,44 kDa,N/A,2.3,0.62 cm 2 V −1 s −1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.62 Å,24.88 Å,as-spun,spin-coat,"1,2-dichlorobenzene",N/A,N/A,bottom-contact-bottom-gate OFET,nano-fibrillar texture,391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/pdf/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,text_mining_GPT_extended
pTBTD-5DH,terthiophene (T) between benzothiadiazole (B) and diketopyrrolopyrrole (D),5-decylheptadecyl (5-DH),branched,5-decylheptadecyl,improve solubility; reduce steric hindrance; packing control,OFET,electronic,N/A,50 µm,44 kDa,N/A,2.3,0.43 cm 2 V −1 s −1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.62 Å,24.88 Å,as-spun,drop-cast,"1,2-dichlorobenzene",N/A,N/A,bottom-contact-bottom-gate OFET,nano-fibrillar texture,391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/pdf/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,text_mining_GPT_extended
pTBTD-5DH,terthiophene (T) between benzothiadiazole (B) and diketopyrrolopyrrole (D),5-decylheptadecyl (5-DH),branched,5-decylheptadecyl,improve solubility; reduce steric hindrance; packing control,OFET,electronic,N/A,50 µm,44 kDa,N/A,2.3,1.74 cm 2 V −1 s −1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.61 Å,24.88 Å,annealed at 300 °C,spin-coat,"1,2-dichlorobenzene",N/A,N/A,bottom-contact-bottom-gate OFET,nano-fibrillar texture,391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/pdf/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,text_mining_GPT_extended
pTBTD-5DH,terthiophene (T) between benzothiadiazole (B) and diketopyrrolopyrrole (D),5-decylheptadecyl (5-DH),branched,5-decylheptadecyl,improve solubility; reduce steric hindrance; packing control,OFET,electronic,N/A,50 µm,44 kDa,N/A,2.3,1.06 cm 2 V −1 s −1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.61 Å,24.88 Å,annealed at 300 °C,drop-cast,"1,2-dichlorobenzene",N/A,N/A,bottom-contact-bottom-gate OFET,nano-fibrillar texture,391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/pdf/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,text_mining_GPT_extended
pTBTD-2DT,terthiophene (T) between benzothiadiazole (B) and diketopyrrolopyrrole (D),2-tetradecyl (2-DT),branched,2-tetradecyl,solubility (branched); comparative study of packing,OFET,electronic,N/A,50 µm,28 kDa,N/A,2.5,0.49 cm 2 V −1 s −1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.68 Å,21.56 Å,as-spun,spin-coat,"1,2-dichlorobenzene",N/A,N/A,bottom-contact-bottom-gate OFET,nano-fibrillar texture,391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/pdf/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,text_mining_GPT_extended
pTBTD-2DT,terthiophene (T) between benzothiadiazole (B) and diketopyrrolopyrrole (D),2-tetradecyl (2-DT),branched,2-tetradecyl,solubility (branched); comparative study of packing,OFET,electronic,N/A,50 µm,28 kDa,N/A,2.5,0.32 cm 2 V −1 s −1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.68 Å,21.56 Å,as-spun,drop-cast,"1,2-dichlorobenzene",N/A,N/A,bottom-contact-bottom-gate OFET,nano-fibrillar texture,391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/pdf/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,text_mining_GPT_extended
pTBTD-2DT,terthiophene (T) between benzothiadiazole (B) and diketopyrrolopyrrole (D),2-tetradecyl (2-DT),branched,2-tetradecyl,solubility (branched); comparative study of packing,OFET,electronic,N/A,50 µm,28 kDa,N/A,2.5,0.40 cm 2 V −1 s −1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.73 Å,22.07 Å,annealed at 300 °C,spin-coat,"1,2-dichlorobenzene",N/A,N/A,bottom-contact-bottom-gate OFET,nano-fibrillar texture,391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/pdf/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,text_mining_GPT_extended
pTBTD-2DT,terthiophene (T) between benzothiadiazole (B) and diketopyrrolopyrrole (D),2-tetradecyl (2-DT),branched,2-tetradecyl,solubility (branched); comparative study of packing,OFET,electronic,N/A,50 µm,28 kDa,N/A,2.5,0.40 cm 2 V −1 s −1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.73 Å,22.07 Å,annealed at 300 °C,drop-cast,"1,2-dichlorobenzene",N/A,N/A,bottom-contact-bottom-gate OFET,nano-fibrillar texture,391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/pdf/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,text_mining_GPT_extended
pTBTD-OD,terthiophene (T) between benzothiadiazole (B) and diketopyrrolopyrrole (D),n-octadecyl (OD),linear,n-octadecyl,solubility; packing control (linear),OFET,electronic,N/A,50 µm,14 kDa,N/A,2.5,0.05 cm 2 V −1 s −1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.59 Å,22.29 Å,as-spun,spin-coat,"1,2-dichlorobenzene",N/A,N/A,bottom-contact-bottom-gate OFET,nano-granular character,391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/pdf/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,text_mining_GPT_extended
pTBTD-OD,terthiophene (T) between benzothiadiazole (B) and diketopyrrolopyrrole (D),n-octadecyl (OD),linear,n-octadecyl,solubility; packing control (linear),OFET,electronic,N/A,50 µm,14 kDa,N/A,2.5,0.04 cm 2 V −1 s −1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.59 Å,22.29 Å,as-spun,drop-cast,"1,2-dichlorobenzene",N/A,N/A,bottom-contact-bottom-gate OFET,nano-granular character,391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/pdf/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,text_mining_GPT_extended
pTBTD-OD,terthiophene (T) between benzothiadiazole (B) and diketopyrrolopyrrole (D),n-octadecyl (OD),linear,n-octadecyl,solubility; packing control (linear),OFET,electronic,N/A,50 µm,14 kDa,N/A,2.5,0.30 cm 2 V −1 s −1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.62 Å,22.29 Å,annealed at 300 °C,spin-coat,"1,2-dichlorobenzene",N/A,N/A,bottom-contact-bottom-gate OFET,nano-granular character,391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/pdf/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,text_mining_GPT_extended
pTBTD-OD,terthiophene (T) between benzothiadiazole (B) and diketopyrrolopyrrole (D),n-octadecyl (OD),linear,n-octadecyl,solubility; packing control (linear),OFET,electronic,N/A,50 µm,14 kDa,N/A,2.5,0.16 cm 2 V −1 s −1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.62 Å,22.29 Å,annealed at 300 °C,drop-cast,"1,2-dichlorobenzene",N/A,N/A,bottom-contact-bottom-gate OFET,nano-granular character,391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of/pdf/391_Adv Funct Materials - 2014 - Fu - Enhancing Field%E2%80%90Effect Mobility of Conjugated Polymers Through Rational Design of.txt,text_mining_GPT_extended
P3HT,polythiophene main chain,3-hexyl,alkyl,hexyl,solubility and packing control,OPV,electronic,about 150 nm,N/A,Mn * 64 000,N/A,N/A,N/A,N/A,N/A,N/A,1.37%,N/A,N/A,N/A,semi-crystalline,N/A,N/A,as-cast,spin-coated,ODCB,N/A,N/A,ITO/PEDOT:PSS/active layer/Ca/Al,nanowire-like phases,341_c2cp42935g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/341_c2cp42935g/341_c2cp42935g/pdf/341_c2cp42935g.txt,text_mining_GPT_extended
P3HT,polythiophene main chain,3-hexyl,alkyl,hexyl,solubility and packing control,OPV,electronic,about 150 nm,N/A,Mn * 64 000,N/A,N/A,N/A,N/A,N/A,N/A,4.43%,N/A,N/A,N/A,semi-crystalline,3.91 A˚,17.24 A˚,150 1C for 30 min,spin-coated,ODCB,N/A,N/A,ITO/PEDOT:PSS/active layer/Ca/Al,nanowires 10–15 nm,341_c2cp42935g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/341_c2cp42935g/341_c2cp42935g/pdf/341_c2cp42935g.txt,text_mining_GPT_extended
P3DDT,polythiophene main chain,3-dodecyl,alkyl,C12H25,solubility and packing control,OPV,electronic,80 nm,N/A,Mn * 60 000,N/A,N/A,N/A,N/A,N/A,N/A,0.73%,N/A,N/A,N/A,semi-crystalline,N/A,N/A,as-cast,spin-coated,ODCB,N/A,N/A,ITO/PEDOT:PSS/active layer/Ca/Al,sphere-like aggregations,341_c2cp42935g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/341_c2cp42935g/341_c2cp42935g/pdf/341_c2cp42935g.txt,text_mining_GPT_extended
P3DDT,polythiophene main chain,3-dodecyl,alkyl,C12H25,solubility and packing control,OPV,electronic,80 nm,N/A,Mn * 60 000,N/A,N/A,N/A,N/A,N/A,N/A,1.80%,N/A,N/A,N/A,semi-crystalline,3.87 A˚,27.25 A˚,70 1C for 60 min,spin-coated,ODCB,N/A,N/A,ITO/PEDOT:PSS/active layer/Ca/Al,nanowires 15–20 nm,341_c2cp42935g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/341_c2cp42935g/341_c2cp42935g/pdf/341_c2cp42935g.txt,text_mining_GPT_extended
P3DDTT,polythiophene main chain,3-dodecyl,alkyl,C12H25,solubility and packing control,OPV,electronic,70 nm,N/A,Mn * 57 000,N/A,N/A,N/A,N/A,N/A,N/A,0.24%,N/A,N/A,N/A,semi-crystalline,N/A,26.43 A˚,as-cast,spin-coated,ODCB,N/A,N/A,ITO/PEDOT:PSS/active layer/Ca/Al,featureless phase image,341_c2cp42935g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/341_c2cp42935g/341_c2cp42935g/pdf/341_c2cp42935g.txt,text_mining_GPT_extended
P3DDTT,polythiophene main chain,3-dodecyl,alkyl,C12H25,solubility and packing control,OPV,electronic,70 nm,N/A,Mn * 57 000,N/A,N/A,N/A,N/A,N/A,N/A,0.72%,N/A,N/A,N/A,semi-crystalline,N/A,26.43 A˚,150 1C for 60 min,spin-coated,ODCB,N/A,N/A,ITO/PEDOT:PSS/active layer/Ca/Al,nanowires about 35–40 nm,341_c2cp42935g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/341_c2cp42935g/341_c2cp42935g/pdf/341_c2cp42935g.txt,text_mining_GPT_extended
P1,"thieno[3,2-b]thiophene–4,7-diethynylbenzo[2,1,3]thiadiazole co-polymer",Ph,aromatic,Ph,modify optical and electrical properties,OFET,electronic,N/A,30 mm,4000,6600,1.65,0.03  0.011,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ambient conditions (air with 40–50% relative humidity),spin-coating; annealed 90 1C 2 h,chloroform,THF/Et3N,N/A,"bottom-gate, top-contact (BGTC) OFET",N/A,383_d2tc01222g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/383_d2tc01222g/383_d2tc01222g/pdf/383_d2tc01222g.txt,text_mining_GPT_extended
P2,"thieno[3,2-b]thiophene–4,7-diethynylbenzo[2,1,3]thiadiazole co-polymer",PhOMe,aromatic,PhOMe,modify optical and electrical properties,OFET,electronic,N/A,30 mm,4400,6800,1.53,0.05  0.013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ambient conditions (air with 40–50% relative humidity),spin-coating; annealed 90 1C 2 h,chloroform,THF/Et3N,N/A,"bottom-gate, top-contact (BGTC) OFET",N/A,383_d2tc01222g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/383_d2tc01222g/383_d2tc01222g/pdf/383_d2tc01222g.txt,text_mining_GPT_extended
P3,"thieno[3,2-b]thiophene–4,7-diethynylbenzo[2,1,3]thiadiazole co-polymer",C6H13,alkyl,C6H13,modify optical and electrical properties,OFET,electronic,N/A,30 mm,5200,7300,1.40,0.08  0.008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,operated below 3 V; ambient conditions (air with 40–50% relative humidity),spin-coating; annealed 90 1C 2 h,chloroform,THF/Et3N,N/A,"bottom-gate, top-contact (BGTC) OFET",negligible hysteresis,383_d2tc01222g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/383_d2tc01222g/383_d2tc01222g/pdf/383_d2tc01222g.txt,text_mining_GPT_extended
P4,"thieno[3,2-b]thiophene–4,7-diethynylbenzo[2,1,3]thiadiazole co-polymer",C9H19,alkyl,C9H19,modify optical and electrical properties,OFET,electronic,N/A,30 mm,8600,14 800,1.71,0.10  0.012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,operated below 3 V; ambient conditions (air with 40–50% relative humidity),spin-coating; annealed 90 1C 2 h,chloroform,THF/Et3N,N/A,"bottom-gate, top-contact (BGTC) OFET",negligible hysteresis,383_d2tc01222g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/383_d2tc01222g/383_d2tc01222g/pdf/383_d2tc01222g.txt,text_mining_GPT_extended
RR-PDPP-CNTVT-6,DPP-CNTVT donor-acceptor backbone,2-decyltetradecyl on DPP; hexyl on CNTVT,alkyl,2-decyltetradecyl; hexyl,solubility,OFET,electronic,N/A,80 μm,33.2 kDa,57.3 kDa,1.73,0.48 cm2 V−1 s−1,0.052 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,semi-crystalline,3.61 Å,22.8 Å,annealed 160 °C,spin-coating,toluene/o-DCB (1:1),toluene,N/A,TGBC,better-organized lamellar structure,355_influence-of-backbone-regioregularity-on-high-mobility-conjugated-polymers-based-on-alkylated-dithienylacrylonitrile.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/355_influence-of-backbone-regioregularity-on-high-mobility-conjugated-polymers-based-on-alkylated-dithienylacrylonitrile/355_influence-of-backbone-regioregularity-on-high-mobility-conjugated-polymers-based-on-alkylated-dithienylacrylonitrile/pdf/355_influence-of-backbone-regioregularity-on-high-mobility-conjugated-polymers-based-on-alkylated-dithienylacrylonitrile.txt,text_mining_GPT_extended
