polymer_name,backbone,side_chain,side_chain_type,side_chain_length,side_chain_design_intent,device_type,transport_regime,film_thickness,channel_length,molecular_weight_mn,molecular_weight_mw,dispersity,mobility_h,mobility_e,capacitance,uc_star,pce,jsc,voc,ff,crystallinity,pi_pi_spacing,lamellar_spacing,experiment_condition,processing_method,processing_solvent,synthesis_solvent,electrolyte,measurement_method,notes,_source_file,_source_path,_config_name
a-P(iIT)-OH,isoindigo-based backbone,terminal hydroxyl and branched alkyl,alkyl and hydroxyl,N/A,"solubility, post-functionalization",OFET,electronic,40–50 nm,N/A,N/A,N/A,N/A,1.75 × 10−4 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,amorphous,N/A,N/A,thermal annealing at 150 °C,spin-coating,Chlorobenzene,N/A,N/A,bottom-gate top-contact (BGTC),increased surface roughness,411_d2py01244h.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/411_d2py01244h/411_d2py01244h/pdf/411_d2py01244h.txt,text_mining_GPT_extended
a-P(iIT)-OH,isoindigo-based backbone,terminal hydroxyl and branched alkyl,alkyl and hydroxyl,N/A,"solubility, post-functionalization",OFET,electronic,40–50 nm,N/A,N/A,N/A,N/A,2.01 × 10−4 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,amorphous,N/A,N/A,thermal annealing at 150 °C,spin-coating,o-Anisole,N/A,N/A,bottom-gate top-contact (BGTC),increased surface roughness,411_d2py01244h.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/411_d2py01244h/411_d2py01244h/pdf/411_d2py01244h.txt,text_mining_GPT_extended
a-P(iIT)-OH,isoindigo-based backbone,terminal hydroxyl and branched alkyl,alkyl and hydroxyl,N/A,"solubility, post-functionalization",OFET,electronic,40–50 nm,N/A,N/A,N/A,N/A,2.49 × 10−4 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,amorphous,N/A,N/A,thermal annealing at 150 °C,spin-coating,20% v/v o-anisole/n-BuOH,N/A,N/A,bottom-gate top-contact (BGTC),long-range ordered aggregation,411_d2py01244h.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/411_d2py01244h/411_d2py01244h/pdf/411_d2py01244h.txt,text_mining_GPT_extended
PBFDO,"poly(3,7-dihydrobenzo[1,2-b:4,5-b0]difuran-2,6-dione)",side-chain-free,N/A,N/A,N/A,OECT,mixed ionic-electronic,around 70 nm,10 mm,N/A,N/A,N/A,N/A,N/A,N/A,796 F cm^-1 V^-1 s^-1,N/A,N/A,N/A,N/A,N/A,3.30 Å,10.58 Å,0.1 M NaPF6 aqueous solution,spin-coating,N/A,anhydrous DMSO,0.1 M NaPF6 aqueous solution,planar OECT with Ag/AgCl pellet gate,ordered edge-on packing structure,478_d4mh00979g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/478_d4mh00979g/478_d4mh00979g/pdf/478_d4mh00979g.txt,text_mining_GPT_extended
PBFDO-PEG50wt%,"poly(3,7-dihydrobenzo[1,2-b:4,5-b0]difuran-2,6-dione)",polyethylene glycol (PEG) side chains,PEG,N/A,ion accessibility,OECT,mixed ionic-electronic,around 70 nm,10 mm,10.7 kDa,N/A,11.05,N/A,N/A,N/A,724 F cm^-1 V^-1 s^-1,N/A,N/A,N/A,N/A,N/A,N/A,15.48 Å,0.1 M NaPF6 aqueous solution,spin-coating,N/A,anhydrous DMSO,0.1 M NaPF6 aqueous solution,planar OECT with Ag/AgCl pellet gate,expanded lamella distance,478_d4mh00979g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/478_d4mh00979g/478_d4mh00979g/pdf/478_d4mh00979g.txt,text_mining_GPT_extended
PBFDO-PEG100wt%,"poly(3,7-dihydrobenzo[1,2-b:4,5-b0]difuran-2,6-dione)",polyethylene glycol (PEG) side chains,PEG,N/A,ion accessibility,OECT,mixed ionic-electronic,around 70 nm,10 mm,9.9 kDa,N/A,13.45,N/A,N/A,N/A,583 F cm^-1 V^-1 s^-1,N/A,N/A,N/A,N/A,N/A,N/A,15.90 Å,0.1 M NaPF6 aqueous solution,spin-coating,N/A,anhydrous DMSO,0.1 M NaPF6 aqueous solution,planar OECT with Ag/AgCl pellet gate,expanded lamella distance,478_d4mh00979g.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/478_d4mh00979g/478_d4mh00979g/pdf/478_d4mh00979g.txt,text_mining_GPT_extended
PDPP-2Crown-4T-(1:30),DPP-based 4T copolymer,2Crown (crown-octyl) side chains,crown ether,crown-octyl,improve melt processability,OFET,electronic,N/A,N/A,21.9 kDa,87.0 kDa,3.96,0.67 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MFT at 140 °C,melt friction transfer (MFT),N/A,N/A,N/A,bottom-gate bottom-contact OFET (BGBC),single-modal face-on texture,415_Advanced Materials - 2025 - Zhang - Low%E2%80%90Temperature Melt%E2%80%90Processable Polymer Semiconductors with Large%E2%80%90Ring Crown Ether.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/415_Advanced Materials - 2025 - Zhang - Low%E2%80%90Temperature Melt%E2%80%90Processable Polymer Semiconductors with Large%E2%80%90Ring Crown Ether/415_Advanced Materials - 2025 - Zhang - Low%E2%80%90Temperature Melt%E2%80%90Processable Polymer Semiconductors with Large%E2%80%90Ring Crown Ether/pdf/415_Advanced Materials - 2025 - Zhang - Low%E2%80%90Temperature Melt%E2%80%90Processable Polymer Semiconductors with Large%E2%80%90Ring Crown Ether.txt,text_mining_GPT_extended
PDPP-2Crown-4T-(1:10),DPP-based 4T copolymer,2Crown (crown-octyl) side chains,crown ether,crown-octyl,improve melt processability,OFET,electronic,N/A,N/A,15.7 kDa,44.8 kDa,2.86,0.83 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MFT at 140 °C,melt friction transfer (MFT),N/A,N/A,N/A,bottom-gate bottom-contact OFET (BGBC),orientated structure,415_Advanced Materials - 2025 - Zhang - Low%E2%80%90Temperature Melt%E2%80%90Processable Polymer Semiconductors with Large%E2%80%90Ring Crown Ether.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/415_Advanced Materials - 2025 - Zhang - Low%E2%80%90Temperature Melt%E2%80%90Processable Polymer Semiconductors with Large%E2%80%90Ring Crown Ether/415_Advanced Materials - 2025 - Zhang - Low%E2%80%90Temperature Melt%E2%80%90Processable Polymer Semiconductors with Large%E2%80%90Ring Crown Ether/pdf/415_Advanced Materials - 2025 - Zhang - Low%E2%80%90Temperature Melt%E2%80%90Processable Polymer Semiconductors with Large%E2%80%90Ring Crown Ether.txt,text_mining_GPT_extended
PDPP-2Crown-4T-(1:5),DPP-based 4T copolymer,2Crown (crown-octyl) side chains,crown ether,crown-octyl,improve melt processability,OFET,electronic,N/A,N/A,14.2 kDa,53.0 kDa,3.74,1.06 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.60 Å (60 °C); 3.76 Å (220 °C),25.40 Å (20 °C) to 26.27 Å (220 °C),MFT at 140 °C; in-situ XRD 60–220 °C,melt friction transfer (MFT),N/A,N/A,N/A,bottom-gate bottom-contact OFET (BGBC),bimodal orientation forming 3D transport pathway,415_Advanced Materials - 2025 - Zhang - Low%E2%80%90Temperature Melt%E2%80%90Processable Polymer Semiconductors with Large%E2%80%90Ring Crown Ether.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/415_Advanced Materials - 2025 - Zhang - Low%E2%80%90Temperature Melt%E2%80%90Processable Polymer Semiconductors with Large%E2%80%90Ring Crown Ether/415_Advanced Materials - 2025 - Zhang - Low%E2%80%90Temperature Melt%E2%80%90Processable Polymer Semiconductors with Large%E2%80%90Ring Crown Ether/pdf/415_Advanced Materials - 2025 - Zhang - Low%E2%80%90Temperature Melt%E2%80%90Processable Polymer Semiconductors with Large%E2%80%90Ring Crown Ether.txt,text_mining_GPT_extended
P3HT-b-PBA3k,poly(3-hexylthiophene) conjugated block,poly(butyl acrylate) (PBA) block,PBA coil,Mn ~3000,improve stretchability,thermoelectric,electronic,approximately 100 nm,N/A,"P3HT Mn ~10,000; PBA Mn ~3000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,N/A,N/A,2 min vapor doping; 303 K,spin-coating; annealed 50 °C 2 h; vapor doping,chloroform (CF),N/A,N/A,thin-film on glass substrate with Ag contacts,edge-on orientation; nanofiber structure,503_1-s2.0-S1385894723038524-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/503_1-s2.0-S1385894723038524-main/503_1-s2.0-S1385894723038524-main/pdf/503_1-s2.0-S1385894723038524-main.txt,text_mining_GPT_extended
P3HT-b-PBA6k,poly(3-hexylthiophene) conjugated block,poly(butyl acrylate) (PBA) block,PBA coil,Mn ~6000,improve stretchability,thermoelectric,electronic,approximately 100 nm,N/A,"P3HT Mn ~10,000; PBA Mn ~6000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,N/A,N/A,3 min vapor doping; 303 K,spin-coating; annealed 50 °C 2 h; vapor doping,chloroform (CF),N/A,N/A,thin-film on glass substrate with Ag contacts,edge-on orientation; nanofiber structure,503_1-s2.0-S1385894723038524-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/503_1-s2.0-S1385894723038524-main/503_1-s2.0-S1385894723038524-main/pdf/503_1-s2.0-S1385894723038524-main.txt,text_mining_GPT_extended
P3HT,thiophene backbone,hexyl side chain,alkyl,hexyl,semiconducting properties,thermoelectric,electronic,approximately 100 nm,N/A,"P3HT Mn ~10,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,N/A,N/A,vapor-doped; 303 K,spin-coating; annealed 50 °C 2 h; vapor doping,chloroform (CF),N/A,N/A,thin-film on glass substrate with Ag contacts,edge-on orientation; nanofiber structure,503_1-s2.0-S1385894723038524-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/503_1-s2.0-S1385894723038524-main/503_1-s2.0-S1385894723038524-main/pdf/503_1-s2.0-S1385894723038524-main.txt,text_mining_GPT_extended
P3HT-b-PBA3k,poly(3-hexylthiophene) conjugated block,poly(butyl acrylate) (PBA) block,PBA coil,Mn ~3000,improve stretchability,thermoelectric,electronic,approximately 100 nm,N/A,"P3HT Mn ~10,000; PBA Mn ~3000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,N/A,N/A,50% strain; 2 min vapor doping; PDMS substrate,spin-coating; vapor doping,chloroform (CF),N/A,N/A,thin-film on PDMS substrate with Ag contacts,PF 1.77 μW m−1 K−2; PF retention 83.3% (200 cycles),503_1-s2.0-S1385894723038524-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/503_1-s2.0-S1385894723038524-main/503_1-s2.0-S1385894723038524-main/pdf/503_1-s2.0-S1385894723038524-main.txt,text_mining_GPT_extended
P3HT-b-PBA6k,poly(3-hexylthiophene) conjugated block,poly(butyl acrylate) (PBA) block,PBA coil,Mn ~6000,improve stretchability,thermoelectric,electronic,approximately 100 nm,N/A,"P3HT Mn ~10,000; PBA Mn ~6000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,N/A,N/A,50% strain; 200 cycles,spin-coating; vapor doping,chloroform (CF),N/A,N/A,thin-film on PDMS substrate with Ag contacts,PF retention 86.3% (200 cycles); edge-on orientation,503_1-s2.0-S1385894723038524-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/503_1-s2.0-S1385894723038524-main/503_1-s2.0-S1385894723038524-main/pdf/503_1-s2.0-S1385894723038524-main.txt,text_mining_GPT_extended
P(N-DBND-2T),DBND-2T,C31 alkyl,alkyl,C31,"improve solubility, reduce steric hindrance",OFET,electronic,N/A,10 μm,55 kDa,N/A,2.56,0.55 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.63 Å,29.6 Å,"annealed 180 °C, ambient",spin-coating,o-DCB,toluene,N/A,bottom-gate bottom-contact (BGBC),highly interconnected fibrillar domains,404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/pdf/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a.txt,text_mining_GPT_extended
P(O-DBND-2T),DBND-2T,C31 alkyl,alkyl,C31,"improve solubility, reduce steric hindrance",OFET,electronic,N/A,10 μm,81 kDa,N/A,2.21,0.006 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.68 Å,29.6 Å,"annealed 180 °C, ambient",spin-coating,o-DCB,toluene,N/A,bottom-gate bottom-contact (BGBC),rough and spherical morphology,404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/pdf/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a.txt,text_mining_GPT_extended
P3C(Pr)T,"poly(thiophene-2,5-diyl)",carboxyl-propyl side chain,carboxyl-alkyl,C3,water processability and low-swelling,OECT,mixed ionic-electronic,90 to 100 nm,"50, 100, 200, 400 μm",N/A,N/A,N/A,0.57 ± 0.06 cm2 V−1 s−1,N/A,145 ± 18 F cm−3,83 ± 3 F cm−1 V−1 s−1,N/A,N/A,N/A,N/A,semi-crystalline,0.37 nm,1.25 nm,0.1 M NaCl (aq) electrolyte,spray-cast,water,N/A,0.1 M NaCl (aq),planar OECT and interdigitated OECT (Ag/AgCl gate),highest passive swelling ≈17.9%,470_carboxyl-alkyl-functionalized-conjugated-polyelectrolytes-for-high-performance-organic-electrochemical-transistors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/470_carboxyl-alkyl-functionalized-conjugated-polyelectrolytes-for-high-performance-organic-electrochemical-transistors/470_carboxyl-alkyl-functionalized-conjugated-polyelectrolytes-for-high-performance-organic-electrochemical-transistors/pdf/470_carboxyl-alkyl-functionalized-conjugated-polyelectrolytes-for-high-performance-organic-electrochemical-transistors.txt,text_mining_GPT_extended
P3C(Bu)T,"poly(thiophene-2,5-diyl)",carboxyl-butyl side chain,carboxyl-alkyl,C4,water processability and low-swelling,OECT,mixed ionic-electronic,90 to 100 nm,"50, 100, 200, 400 μm",N/A,21 kDa,2.2,0.96 ± 0.08 cm2 V−1 s−1,N/A,111 ± 14 F cm−3,107 ± 4 F cm−1 V−1 s−1,N/A,N/A,N/A,N/A,semi-crystalline,0.37 nm,1.53 nm,0.1 M NaCl (aq) electrolyte,spray-cast,water,N/A,0.1 M NaCl (aq),planar OECT and interdigitated OECT (Ag/AgCl gate),stronger inter-molecular π−π stacking and planarization,470_carboxyl-alkyl-functionalized-conjugated-polyelectrolytes-for-high-performance-organic-electrochemical-transistors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/470_carboxyl-alkyl-functionalized-conjugated-polyelectrolytes-for-high-performance-organic-electrochemical-transistors/470_carboxyl-alkyl-functionalized-conjugated-polyelectrolytes-for-high-performance-organic-electrochemical-transistors/pdf/470_carboxyl-alkyl-functionalized-conjugated-polyelectrolytes-for-high-performance-organic-electrochemical-transistors.txt,text_mining_GPT_extended
P3C(Pe)T,"poly(thiophene-2,5-diyl)",carboxyl-pentyl side chain,carboxyl-alkyl,C5,water processability and low-swelling,OECT,mixed ionic-electronic,90 to 100 nm,"50, 100, 200, 400 μm",N/A,28 kDa,2.0,1.26 ± 0.2 cm2 V−1 s−1,N/A,30 ± 5 F cm−3,38 ± 3 F cm−1 V−1 s−1,N/A,N/A,N/A,N/A,semi-crystalline,0.37 nm,1.61 nm,0.1 M NaCl (aq) electrolyte,spray-cast,water,N/A,0.1 M NaCl (aq),planar OECT and interdigitated OECT (Ag/AgCl gate),lowest passive swelling ≈2.5%,470_carboxyl-alkyl-functionalized-conjugated-polyelectrolytes-for-high-performance-organic-electrochemical-transistors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/470_carboxyl-alkyl-functionalized-conjugated-polyelectrolytes-for-high-performance-organic-electrochemical-transistors/470_carboxyl-alkyl-functionalized-conjugated-polyelectrolytes-for-high-performance-organic-electrochemical-transistors/pdf/470_carboxyl-alkyl-functionalized-conjugated-polyelectrolytes-for-high-performance-organic-electrochemical-transistors.txt,text_mining_GPT_extended
[C10]2,acyclic dioxythiophene,[C10]2,nonpolar alkoxy,C10,solubility and packing control,electrochemical cell,mixed ionic-electronic,thicknesses ranging between 150 and 250 nm,N/A,14.6 kg/mol,N/A,1.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,N/A,N/A,annealed (heated to approximately 10 °C above Tm; slow cooled 3 °C/min),"blade-coated (Landau-Levich, 40 mm/s, 150 μm blade height)",CHCl3,toluene (reflux),0.1 mol/L TBAPF6 in propylene carbonate (PC),"differential pulse voltammetry (DPV), spectroelectrochemistry",side-chain order inhibits doping,480_impact-of-side-chain-polarity-and-symmetry-on-the-structure-and-properties-of-acyclic-dioxythiophene-polymers.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/480_impact-of-side-chain-polarity-and-symmetry-on-the-structure-and-properties-of-acyclic-dioxythiophene-polymers/480_impact-of-side-chain-polarity-and-symmetry-on-the-structure-and-properties-of-acyclic-dioxythiophene-polymers/pdf/480_impact-of-side-chain-polarity-and-symmetry-on-the-structure-and-properties-of-acyclic-dioxythiophene-polymers.txt,text_mining_GPT_extended
[C10]2-co-[OE3]2,acyclic dioxythiophene,[C10]2-co-[OE3]2,amphiphilic,C10 and OE3,solubility and polymer-electrolyte interactions,electrochemical cell,mixed ionic-electronic,thicknesses ranging between 150 and 250 nm,N/A,30.0 kg/mol,N/A,1.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,N/A,N/A,as-cast and annealed (heated to approximately 10 °C above Tm; slow cooled 3 °C/min),"blade-coated (Landau-Levich, 40 mm/s, 150 μm blade height)",CHCl3,triethylene glycol monomethyl ether (bulk),0.1 mol/L TBAPF6 in propylene carbonate (PC),"differential pulse voltammetry (DPV), spectroelectrochemistry","chiral, lyotropic mesophase",480_impact-of-side-chain-polarity-and-symmetry-on-the-structure-and-properties-of-acyclic-dioxythiophene-polymers.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/480_impact-of-side-chain-polarity-and-symmetry-on-the-structure-and-properties-of-acyclic-dioxythiophene-polymers/480_impact-of-side-chain-polarity-and-symmetry-on-the-structure-and-properties-of-acyclic-dioxythiophene-polymers/pdf/480_impact-of-side-chain-polarity-and-symmetry-on-the-structure-and-properties-of-acyclic-dioxythiophene-polymers.txt,text_mining_GPT_extended
[CH3-C10],acyclic dioxythiophene,[CH3-C10],nonpolar alkoxy,C10,solubility and packing control,electrochemical cell,mixed ionic-electronic,thicknesses ranging between 150 and 250 nm,N/A,10.6 kg/mol,N/A,1.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,semi-crystalline,N/A,22.5 Å (as-cast); 24.2 Å (annealed),annealed (heated to approximately 10 °C above Tm; slow cooled 3 °C/min),"blade-coated (Landau-Levich, 40 mm/s, 150 μm blade height)",CHCl3,toluene,0.1 mol/L TBAPF6 in propylene carbonate (PC),"differential pulse voltammetry (DPV), spectroelectrochemistry",small crystals of high local order,480_impact-of-side-chain-polarity-and-symmetry-on-the-structure-and-properties-of-acyclic-dioxythiophene-polymers.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/480_impact-of-side-chain-polarity-and-symmetry-on-the-structure-and-properties-of-acyclic-dioxythiophene-polymers/480_impact-of-side-chain-polarity-and-symmetry-on-the-structure-and-properties-of-acyclic-dioxythiophene-polymers/pdf/480_impact-of-side-chain-polarity-and-symmetry-on-the-structure-and-properties-of-acyclic-dioxythiophene-polymers.txt,text_mining_GPT_extended
[CH3-C10-co-CH3-OE3],acyclic dioxythiophene,[CH3-C10-co-CH3-OE3],amphiphilic,C10 and OE3,solubility and polymer-electrolyte interactions,electrochemical cell,mixed ionic-electronic,thicknesses ranging between 150 and 250 nm,N/A,14.0 kg/mol,N/A,2.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,semi-crystalline,N/A,22.4 Å,annealed (heated to approximately 10 °C above Tm; slow cooled 3 °C/min),"blade-coated (Landau-Levich, 40 mm/s, 150 μm blade height)",CHCl3,triethylene glycol monomethyl ether (bulk),0.1 mol/L TBAPF6 in propylene carbonate (PC),"differential pulse voltammetry (DPV), spectroelectrochemistry",improves charge transport pathways,480_impact-of-side-chain-polarity-and-symmetry-on-the-structure-and-properties-of-acyclic-dioxythiophene-polymers.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/480_impact-of-side-chain-polarity-and-symmetry-on-the-structure-and-properties-of-acyclic-dioxythiophene-polymers/480_impact-of-side-chain-polarity-and-symmetry-on-the-structure-and-properties-of-acyclic-dioxythiophene-polymers/pdf/480_impact-of-side-chain-polarity-and-symmetry-on-the-structure-and-properties-of-acyclic-dioxythiophene-polymers.txt,text_mining_GPT_extended
DPP-OD,Diketopyrrolopyrrole (DPP),2-octyldodecyl (OD),alkyl,20 carbon centers,tune the balance between crystalline order and solubility,OFET,electronic,approximately 50 nm,200 μm,6.9×10^4,N/A,2.32,0.07 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,lower crystallinity,N/A,N/A,without thermal annealing,"spin-coated, contact film transfer",chloroform,tetrahydrofuran,N/A,bottom-gate top-contact OFET,N/A,441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers/441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers/pdf/441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers.txt,text_mining_GPT_extended
DPP-OD,Diketopyrrolopyrrole (DPP),2-octyldodecyl (OD),alkyl,20 carbon centers,tune the balance between crystalline order and solubility,OFET,electronic,approximately 50 nm,N/A,6.9×10^4,N/A,2.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.74 Å,20.05 Å,thermal annealing at 250 °C,"spin-coated, thermally annealed",chloroform,tetrahydrofuran,N/A,N/A,bimodal orientation (edge-on and face-on orientations),441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers/441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers/pdf/441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers.txt,text_mining_GPT_extended
DPP-TMHDe,Diketopyrrolopyrrole (DPP),"3,7,11,15-tetramethylhexadec-2-en-1-yl (TMHDe)",alkyl,20 carbon centers,tune the balance between crystalline order and solubility,OFET,electronic,approximately 50 nm,200 μm,5.1×10^4,N/A,1.98,0.20 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,higher crystallinity,N/A,N/A,without thermal annealing,"spin-coated, contact film transfer",chloroform,tetrahydrofuran,N/A,bottom-gate top-contact OFET,N/A,441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers/441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers/pdf/441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers.txt,text_mining_GPT_extended
DPP-TMHDe,Diketopyrrolopyrrole (DPP),"3,7,11,15-tetramethylhexadec-2-en-1-yl (TMHDe)",alkyl,20 carbon centers,tune the balance between crystalline order and solubility,OFET,electronic,approximately 50 nm,N/A,5.1×10^4,N/A,1.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,strong edge-on orientation,3.54 Å,25.55 Å,thermal annealing at 250 °C,"spin-coated, thermally annealed",chloroform,tetrahydrofuran,N/A,N/A,strong edge-on orientation in the film,441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers/441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers/pdf/441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers.txt,text_mining_GPT_extended
DPP-TMHD,Diketopyrrolopyrrole (DPP),"3,7,11,15-tetramethylhexadecyl (TMHD)",alkyl,20 carbon centers,tune the balance between crystalline order and solubility,OFET,electronic,approximately 50 nm,200 μm,5.0×10^4,N/A,2.06,0.32 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,higher crystallinity,N/A,N/A,without thermal annealing,"spin-coated, contact film transfer",chloroform,tetrahydrofuran,N/A,bottom-gate top-contact OFET,N/A,441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers/441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers/pdf/441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers.txt,text_mining_GPT_extended
DPP-TMHD,Diketopyrrolopyrrole (DPP),"3,7,11,15-tetramethylhexadecyl (TMHD)",alkyl,20 carbon centers,tune the balance between crystalline order and solubility,OFET,electronic,approximately 50 nm,N/A,5.0×10^4,N/A,2.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,edge-on rich orientation,3.52 Å,27.62 Å,thermal annealing at 250 °C,"spin-coated, thermally annealed",chloroform,tetrahydrofuran,N/A,N/A,edge-on rich orientation,441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers/441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers/pdf/441_phytol-derived-alkyl-side-chains-for-%CF%80-conjugated-semiconducting-polymers.txt,text_mining_GPT_extended
